URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_29.html,2022.4.20221006,active,"1.2.840.10008.6.1.19",AcquisitionModality,,"Transitive closure of CID 29 AcquisitionModality","StructureDefinition/inera-ehds-imaging-study","DICOM"
http://hl7.org/fhir/uv/ips/ValueSet/vaccines-uv-ips,2.0.0,active,,VaccinesUvIps,Vaccines - IPS,"IPS Vaccine codes value set.  This value set includes codes from SNOMED CT®: all descendants of 787859002 \|Vaccine product (product)\|; all descendants or self of 787482006 \|No known immunizations (situation)\|  SNOMED CT® ECL definition:\ < 787859002 \|Vaccine product (product)\| OR \<\< 787482006 \|No known immunizations (situation)\|","StructureDefinition/inera-ehds-immunization","SCT"
http://hl7.org/fhir/uv/ips/ValueSet/vaccines-whoatc-uv-ips,2.0.0,active,,VaccinesWhoAtcUvIps,Vaccines WHO ATC - IPS,"IPS Vaccine codes value set.  This value set includes codes from the World Health Organization Anatomical Therapeutic Chemical (ATC) classification system: all descendants of J07 ""VACCINES""","StructureDefinition/inera-ehds-immunization","hl7.terminology.r4"
http://hl7.org/fhir/uv/ips/ValueSet/whoatc-uv-ips,2.0.0,active,,WhoAtcUvIps,WHO ATC - IPS,"World Health Organization Anatomical Therapeutic Chemical (ATC) classification system.","StructureDefinition/inera-ehds-allergy-intolerance","hl7.terminology.r4"
http://terminology.hl7.org/ValueSet/v2-0092,3.0.0,active,"2.16.840.1.113883.21.40",Hl7VSReAdmissionIndicator,hl7VS-re-admissionIndicator,"Value Set of codes which are used to specify that a patient is being re-admitted to a healthcare facility from which they were discharged, and indicates the circumstances around such re-admission.","StructureDefinition/inera-ehds-encounter","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/inera-ehds-document-reference","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActEncounterCode,3.0.0,active,"2.16.840.1.113883.1.11.13955",ActEncounterCode,ActEncounterCode,"Domain provides codes that qualify the ActEncounterClass (ENC)","StructureDefinition/inera-ehds-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ActPriority,3.0.0,active,"2.16.840.1.113883.1.11.16866",ActPriority,ActPriority,"A code or set of codes (e.g., for routine, emergency,) specifying the urgency under which the Act happened, can happen, is happening, is intended to happen, or is requested/demanded to happen.    *Discussion:* This attribute is used in orders to indicate the ordered priority, and in event documentation it indicates the actual priority used to perform the act. In definition mood it indicates the available priorities.","StructureDefinition/inera-ehds-encounter","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-PurposeOfUse,3.1.0,active,"2.16.840.1.113883.1.11.20448",PurposeOfUse,PurposeOfUse,"Supports communication of purpose of use at a general level.","StructureDefinition/inera-ehds-audit-event,StructureDefinition/inera-ehds-provenance","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,3.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/inera-ehds-service-request-referral","THO (V3)"
https://fhir.inera.se/ig/ehds-tk/ValueSet/assessmentcategory-vs,0.1.0,active,,AssessmentCategoryVS,AssessmentCategory — ValueSet,"Tillåtna värden för fältet assessmentCategory i GetFunctionalStatus.","StructureDefinition/inera-ehds-lm-functional-status","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/clinicaldocumentnotecode-vs,0.1.0,active,,ClinicalDocumentNoteCodeVS,KV Anteckningstyp — ValueSet,"Tillåtna värden för fältet clinicalDocumentNoteCode i GetCareDocumentation enligt KV Anteckningstyp (OID: 1.2.752.129.2.2.2.11).","StructureDefinition/inera-ehds-lm-care-documentation","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/deliverycode-vs,0.1.0,active,,DeliveryCodeVS,DeliveryCode — ValueSet,"Tillåtna värden för förlossningssätt i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/diagnosistype-vs,0.1.0,active,,DiagnosisTypeVS,DiagnosisType — ValueSet,"Tillåtna värden för fältet typeOfDiagnosis i GetDiagnosis.","StructureDefinition/inera-ehds-lm-diagnosis","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/errorcode-vs,0.1.0,active,,ErrorCodeVS,ErrorCode — ValueSet,"Tillåtna värden för errorCode i svar.","StructureDefinition/inera-ehds-lm-vaccination-history,StructureDefinition/inera-ehds-lm-medication-history","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/examinationstatuscode-vs,0.1.0,active,,ExaminationStatusCodeVS,ExaminationStatusCode — ValueSet,"Tillåtna värden för examinationStatus i GetImagingOutcome.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/fetalpositioncode-vs,0.1.0,active,,FetalPositionCodeVS,FetalPositionCode — ValueSet,"Tillåtna värden för fosterläge i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/growth-observation-type-vs,0.1.0,draft,,GrowthObservationTypeVS,Tillväxtkurva – observationstyper (IoÖ Tillväxtkurva v3),"SNOMED CT-koder för tillväxtmätningar enligt Interaktionsöverenskommelse Tillväxtkurva för barn och ungdom v3 (Inera, 2023-05-15).  Alla koder från kodsystemet SNOMED CT SE (OID 1.2.752.116.2.1.1).  Koder: - 1153637007 | Kroppslängd | (primärkod för längd) - 50373000   | Mått på kroppslängd | (alternativkod för längd) - 248334005  | Längd i liggande | (bakåtkompatibel – ej för nyanslutning) - 27113001   | Kroppsvikt | - 363812007  | Huvudomfång | - 412726003  | Graviditetslängd vid födelse |","StructureDefinition/inera-ehds-observation-growth","SCT"
https://fhir.inera.se/ig/ehds-tk/ValueSet/prescriptionstatus-vs,0.1.0,active,,PrescriptionStatusVS,PrescriptionStatus — ValueSet,"Tillåtna värden för prescriptionStatus i GetMedicationHistory.","StructureDefinition/inera-ehds-lm-medication-history","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/referraloutcometypecode-vs,0.1.0,active,,ReferralOutcomeTypeCodeVS,ReferralOutcomeTypeCode — ValueSet,"Tillåtna värden för referralOutcomeTypeCode i GetReferralOutcome.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/resultcode-vs,0.1.0,active,,ResultCodeVS,ResultCode — ValueSet,"Tillåtna värden för resultCode i svar.","StructureDefinition/inera-ehds-lm-vaccination-history,StructureDefinition/inera-ehds-lm-medication-history","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/se-observation-status-vs,0.1.0,active,,SEObservationStatusVS,SE Observation Status (SNOMED CT urval 56431000052106),"Tillåtna statusvärden för GetObservations observationStatus. Urvals-id 56431000052106, SNOMED CT SE (OID 1.2.752.116.2.1.1). Mappning till FHIR ObservationStatus via ConceptMap observation-status-map.","StructureDefinition/inera-ehds-lm-observations,StructureDefinition/inera-ehds-observation-growth,StructureDefinition/inera-ehds-observation-base","SCT"
https://fhir.inera.se/ig/ehds-tk/ValueSet/sexcode-vs,0.1.0,active,,SexCodeVS,SexCode — ValueSet,"Tillåtna värden för kön i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofcareplan-vs,0.1.0,active,,TypeOfCarePlanVS,TypeOfCarePlan — ValueSet,"Tillåtna värden för typeOfCarePlan i GetCarePlans enligt clinicalprocess:logistics:logistics.","StructureDefinition/inera-ehds-lm-care-plans,StructureDefinition/inera-ehds-care-plan","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofleavecode-vs,0.1.0,active,,TypeOfLeaveCodeVS,TypeOfLeaveCode — ValueSet,"Tillåtna värden för typ av ledighet i GetMaternityMedicalHistory.",,"Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofprescription-vs,0.1.0,active,,TypeOfPrescriptionVS,TypeOfPrescription — ValueSet,"Tillåtna värden för typeOfPrescription i GetMedicationHistory.","StructureDefinition/inera-ehds-lm-medication-history","Internal"
https://fhir.inera.se/ig/ehds-tk/ValueSet/typeofresultcode-vs,0.1.0,active,,TypeOfResultCodeVS,TypeOfResultCode — ValueSet,"Tillåtna värden för typeOfResult i GetImagingOutcome.",,"Internal"
